datetime,date posted,duration,shape,comments,City,Country,Region,latitude,longitude,Address
4/22/2004 23:14,4/27/2004,1 days,light,the object seen was a bright light dozens of times bigger then any other star in the sky&#44 it stayed posted at one point for 1 day when,leigh-on-sea, England, United Kingdom,51.55,0.666667,"['Prittle Brook Greenway', ' Westcliff-on-Sea', ' Southend-on-Sea', ' East of England', ' England', ' SS9 3HS', ' United Kingdom']"
6/2/1986 18:00,10/20/2005,1 hours,disk,Close Encounter With Three Disc Craft&#44 February 1986,wiltshire, South West England, United Kingdom,51.25,-1.916667,"['Tilshead', ' Wiltshire', ' South West England', ' England', ' United Kingdom']"
3/4/2008 18:00,10/31/2008,1 hours,cone,Cone shape over Durham,durham, England, United Kingdom,54.766667,-1.566667,"['>>', ' Viaduct', ' City of Durham', ' Durham', ' County Durham', ' North East England', ' England', ' DH1 3SD', ' United Kingdom']"
3/10/2007 22:00,4/27/2007,1 hours,sphere,small satalite shaped object seen doing turns and curcuits over wolverhampton&#4410th march 07.  ((NUFOR,wolverhampton, England, United Kingdom,52.583333,-2.133333,"['Market Car Park', ' Fold Street', ' Wolverhampton', ' West Midlands Combined Authority', ' West Midlands', ' England', ' WV3 0SR', ' United Kingdom']"
10/13/1999 4:28,11/2/1999,1 hours,unknown,It was from a high flat window&#44 several miles away high&#44 really high up in the sky. I was scepticle as the object never moved&#44 I could,east, Scotland, United Kingdom,55.766667,-4.166667,"['Maxwell Drive', ' Maxwellton', ' The Village', ' East Kilbride', ' South Lanarkshire', ' Scotland', ' G74 4GR', ' United Kingdom']"
7/11/2003 1:00,11/8/2003,1 hours,unknown,Lights over a Kentish Airfield,ramsgate, England, United Kingdom,51.333333,1.433333,"['Marina Pool Carpark', ' Marina Esplanade', ' Dumpton', ' Ramsgate', ' Thanet', ' Kent', ' South East', ' England', ' CT11 8FH', ' United Kingdom']"
4/14/2007 2:00,10/8/2007,1 hours,rectangle,Various UFO sightings in South East London&#44 UK,london, England, United Kingdom,51.514125,-0.093689,"['107', ' Cheapside', ' Barbican', ' City of London', ' Greater London', ' England', ' EC2', ' United Kingdom']"
3/20/2000 23:00,3/4/2003,1 hours,other,we witnessed an hour long display of the unusual&#33&#33,great, England, United Kingdom,52.633333,1.75,"['Newtown', ' Great Yarmouth', ' Norfolk', ' East of England', ' England', ' NR30 4BJ', ' United Kingdom']"
2/14/2002 2:00,7/26/2002,1 hours,flash,we saw flashing lights in the sky,bradford, England, United Kingdom,51,-3.183333,"['Oake Road', ' Tone Green', ' Bradford-on-Tone', ' Bradford on Tone', ' Somerset West and Taunton', ' Somerset', ' South West England', ' England', ' TA4 1HJ', ' United Kingdom']"
6/29/2008 2:30,7/5/2008,1 hours,light,One large and 3 to 4 smaller lights all white and round. Smaller lights moved around big light.,thetford, England, United Kingdom,52.416667,0.75,"['Thetford Fire Station', ' Norwich Road', ' Thetford', ' Breckland', ' Norfolk', ' East of England', ' England', ' IP24 2HT', ' United Kingdom']"
1/9/2013 23:43,2/4/2013,1 hours,oval,I have pictures of aliens please read&#44 help needed.,clackmannanshire, Scotland, United Kingdom,56.166667,-3.75,"['Tillicoultry', ' Clackmannanshire', ' Scotland', ' FK13 6DW', ' United Kingdom']"
1/5/1976 21:00,5/11/2005,1 hours,disk,Saucer shaped object&#44 flying slowly and silently&#44 with coloured lights moved towards the bright light. I signalled to it&#44,folkestone, England, United Kingdom,51.083333,1.183333,"['St Augustine', ' Dover Road', ' Foord', ' Folkestone', ' Folkestone and Hythe', ' Kent', ' South East', ' England', ' CT20 1LA', ' United Kingdom']"
1/1/2009 1:21,3/19/2009,1 hours,other,strange orange lights on new years day,swanage, England, United Kingdom,50.6,-1.966667,"['Durlston Country Park', ' Southcliffe Road', ' Swanage', ' Dorset', ' South West England', ' England', ' BH19 2JL', ' United Kingdom']"
11/23/2013 21:20,12/2/2013,1 hours,changing,At first thought it was a Chinese lantern&#44 but realised it was too still to be a lantern. Then thought it was a plane when it started m,glasgow, Scotland, United Kingdom,55.833333,-4.25,"['Holyrood Secondary School', ' Boyd Street', ' Govanhill', ' Glasgow', ' Glasgow City', ' Scotland', ' G42 8AU', ' United Kingdom']"
